timestamp	commit	val_bpb	memory_gb	num_steps	status	description	log_file
20260310_111124	4bc0443	2.157824	11.4	170	discard	layers=1, mask=<last>, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.0, y2norm=True, y2center=True, batch=2**15	research/runs/20260310_111124_l1_masklast_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b1p0_qs1p0_n1_c1_tb32768.log
20260310_111729	8d71549	2.043218	11.3	170	discard	layers=1, mask=<last>, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=0.95, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_111729_l1_masklast_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b1p0_qs0p95_n0_c0_tb32768.log
20260310_112333	bcc5300	2.052359	11.3	170	discard	layers=1, mask=<last>, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.05, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_112333_l1_masklast_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b1p0_qs1p05_n0_c0_tb32768.log
20260310_112951	d625f15	2.032164	11.3	171	discard	layers=1, mask=<last>, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=0.9, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_112951_l1_masklast_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b1p0_qs0p9_n0_c0_tb32768.log
20260310_113557	4911e46	2.050065	11.3	171	discard	layers=1, mask=<last>, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.1, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_113557_l1_masklast_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b1p0_qs1p1_n0_c0_tb32768.log
20260310_114203	7799d99	1.995759	11.3	171	discard	layers=1, mask=<last>, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=small_random, lam_w_scale=0.05, blend=1.0, q2_scale=1.0, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_114203_l1_masklast_lamm1p75_wo0p12_lm0p75_lwismall_random_lws0p05_b1p0_qs1p0_n0_c0_tb32768.log
20260310_114809	a3f6e45	1.998896	11.3	170	discard	layers=1, mask=<last>, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=small_random, lam_w_scale=0.1, blend=1.0, q2_scale=1.0, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_114809_l1_masklast_lamm1p75_wo0p12_lm0p75_lwismall_random_lws0p1_b1p0_qs1p0_n0_c0_tb32768.log
20260310_115414	c17e0fb	2.007759	11.3	171	discard	layers=0, mask=2, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.0, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_115414_l0_mask2_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b1p0_qs1p0_n0_c0_tb32768.log
20260310_120021	29c16b9	2.151414	11.9	155	discard	layers=2, mask=<last>, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.0, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_120021_l2_masklast_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b1p0_qs1p0_n0_c0_tb32768.log
20260310_120631	c775fc6	0.000000	0.0	0	crash	layers=1, mask=<last>, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.0, y2norm=False, y2center=False, batch=2**14	research/runs/20260310_120631_l1_masklast_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b1p0_qs1p0_n0_c0_tb16384.log
20260310_120705	54c9c5c	0.000000	0.0	0	crash	layers=2, mask=<last>, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.0, y2norm=False, y2center=False, batch=2**14	research/runs/20260310_120705_l2_masklast_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b1p0_qs1p0_n0_c0_tb16384.log
20260310_120745	a59996f	2.091858	11.9	155	discard	layers=0, mask=1,3, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.0, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_120745_l0_mask1-3_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b1p0_qs1p0_n0_c0_tb32768.log
20260310_121354	53e4543	2.126989	11.9	154	discard	layers=0, mask=1,3, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.0, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_121354_l0_mask1-3_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b1p0_qs1p0_n0_c0_tb32768.log
20260310_122001	f331541	2.109191	11.9	155	discard	layers=0, mask=1,3, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.0, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_122001_l0_mask1-3_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b1p0_qs1p0_n0_c0_tb32768.log
20260310_122609	cd1a28d	2.080263	11.9	155	discard	layers=0, mask=1,3, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.0, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_122609_l0_mask1-3_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b1p0_qs1p0_n0_c0_tb32768.log
20260310_123217	d7fce5c	2.104559	11.9	155	discard	layers=0, mask=1,3, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.0, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_123217_l0_mask1-3_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b1p0_qs1p0_n0_c0_tb32768.log
20260310_123824	2b7cdb7	2.105899	11.9	154	discard	layers=0, mask=1,3, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.0, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_123824_l0_mask1-3_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b1p0_qs1p0_n0_c0_tb32768.log
20260310_124432	d8adf6a	2.149391	11.9	154	discard	layers=0, mask=1,3, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.0, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_124432_l0_mask1-3_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b1p0_qs1p0_n0_c0_tb32768.log
20260310_125038	b0e61c0	2.144460	11.9	154	discard	layers=0, mask=1,3, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.0, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_125038_l0_mask1-3_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b1p0_qs1p0_n0_c0_tb32768.log
20260310_125646	482bcd0	2.132345	11.9	155	discard	layers=0, mask=1,3, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.0, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_125646_l0_mask1-3_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b1p0_qs1p0_n0_c0_tb32768.log
20260310_130300	995d378	2.099172	11.9	154	discard	layers=0, mask=1,3, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.0, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_130300_l0_mask1-3_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b1p0_qs1p0_n0_c0_tb32768.log
20260310_130907	fed6819	2.111567	11.9	154	discard	layers=0, mask=1,3, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.0, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_130907_l0_mask1-3_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b1p0_qs1p0_n0_c0_tb32768.log
20260310_131513	6ded63f	2.116094	11.9	154	discard	layers=0, mask=1,3, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.0, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_131513_l0_mask1-3_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b1p0_qs1p0_n0_c0_tb32768.log
20260310_132122	e1af347	2.135141	11.9	153	discard	layers=0, mask=1,3, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.0, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_132122_l0_mask1-3_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b1p0_qs1p0_n0_c0_tb32768.log
20260310_132730	e2977fb	2.111287	11.9	154	discard	layers=0, mask=1,3, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.0, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_132730_l0_mask1-3_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b1p0_qs1p0_n0_c0_tb32768.log
20260310_134300	2124ea1	2.084708	11.3	162	discard	layers=1, mask=<last>, lam=-2.25, wo_scale=0.08, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=0.85, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_134300_l1_masklast_lamm2p25_wo0p08_lm0p75_lwizero_lws0p05_b1p0_qs0p85_n0_c0_tb32768.log
20260310_134903	bb81975	2.101464	11.9	151	discard	layers=2, mask=<last>, lam=-1.75, wo_scale=0.15, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.0, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_134903_l2_masklast_lamm1p75_wo0p15_lm0p75_lwizero_lws0p05_b1p0_qs1p0_n0_c0_tb32768.log
20260310_135512	6e44ca8	2.054586	11.3	167	discard	layers=1, mask=<last>, lam=-1.75, wo_scale=0.08, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.0, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_135512_l1_masklast_lamm1p75_wo0p08_lm0p75_lwizero_lws0p05_b1p0_qs1p0_n0_c0_tb32768.log
20260310_140116	e61851e	2.175921	11.9	147	discard	layers=2, mask=<last>, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=0.95, q2_scale=1.0, y2norm=False, y2center=True, batch=2**15	research/runs/20260310_140116_l2_masklast_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b0p95_qs1p0_n0_c1_tb32768.log
20260310_140727	0f4aacb	2.080619	11.3	164	discard	layers=1, mask=<last>, lam=-1.75, wo_scale=0.1, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=0.85, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_140727_l1_masklast_lamm1p75_wo0p1_lm0p75_lwizero_lws0p05_b1p0_qs0p85_n0_c0_tb32768.log
20260310_141332	1ea9b81	2.044020	11.3	168	discard	layers=1, mask=<last>, lam=-2.5, wo_scale=0.12, lam_max=0.75, lam_w_init=small_random, lam_w_scale=0.03, blend=1.0, q2_scale=1.05, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_141332_l1_masklast_lamm2p5_wo0p12_lm0p75_lwismall_random_lws0p03_b1p0_qs1p05_n0_c0_tb32768.log
20260310_141939	1e93acb	0.000000	0.0	0	crash	layers=1, mask=<last>, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.05, y2norm=False, y2center=False, batch=2**14	research/runs/20260310_141939_l1_masklast_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b1p0_qs1p05_n0_c0_tb16384.log
20260310_142015	0052dee	2.027081	11.3	166	discard	layers=1, mask=<last>, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=0.9, q2_scale=1.0, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_142015_l1_masklast_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b0p9_qs1p0_n0_c0_tb32768.log
20260310_142621	e0bc349	2.042117	11.3	167	discard	layers=1, mask=<last>, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=0.9, q2_scale=1.15, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_142621_l1_masklast_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b0p9_qs1p15_n0_c0_tb32768.log
20260310_143227	9fb2ec1	2.072956	11.3	167	discard	layers=1, mask=<last>, lam=-1.75, wo_scale=0.08, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=1.0, q2_scale=1.05, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_143227_l1_masklast_lamm1p75_wo0p08_lm0p75_lwizero_lws0p05_b1p0_qs1p05_n0_c0_tb32768.log
20260310_143832	e71ad04	2.031040	11.3	167	discard	layers=1, mask=<last>, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=0.95, q2_scale=1.0, y2norm=False, y2center=False, batch=2**15	research/runs/20260310_143832_l1_masklast_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b0p95_qs1p0_n0_c0_tb32768.log
20260310_144438	30ece0d	2.109509	11.4	166	discard	layers=1, mask=<last>, lam=-1.75, wo_scale=0.12, lam_max=0.75, lam_w_init=zero, lam_w_scale=0.05, blend=0.85, q2_scale=1.0, y2norm=True, y2center=False, batch=2**15	research/runs/20260310_144438_l1_masklast_lamm1p75_wo0p12_lm0p75_lwizero_lws0p05_b0p85_qs1p0_n1_c0_tb32768.log
